"Table 203.20. Enrollment in public elementary and secondary schools, by region, state, and jurisdiction: Selected years, fall 1990 through fall 2023",,,,,,,,,,,,,,,,,,,,,,,
"Region, state, and jurisdiction",Fall 1990,Fall 2000,Fall 2011,Fall 2012,Fall 2013,Fall 2014,Fall 2015,Fall 2016,Fall 2017,Fall 2018,Fall 2019,,Fall 2020,,Fall 2021,,Fall 2022,,Fall 2023,,Percent change in total enrollment,Projected enrollment,Projected enrollment
"Region, state, and jurisdiction",,,,,,,,,,,,,,,,,,,,,2013-23,2019-23,2022-23
1,2,3,4,5,6,7,8,9,10,11,12,12,13,13,14,14,15,15,16,,17,18,19
  Michigan,"1,584,431","1,720,626","1,573,537","1,555,370","1,548,841","1,537,922","1,536,231","1,528,666","1,516,398","1,504,194","1,495,925",,"1,434,137",,"1,440,090",,"1,433,914",,"1,426,491",,-7.9,-4.6,-0.5
  Minnesota,"756,374","854,340","839,738","845,404","850,973","857,235","864,384","875,021","884,944","889,304","893,203",,"872,083",,"870,506",,"870,019",,"869,967",,2.2,-2.6,#
  Mississippi,"502,417","497,871","490,619","493,650","492,586","490,917","487,200","483,150","478,321","471,298","466,002",,"442,627",,"442,000",,"440,285",,"436,523",,-11.4,-6.3,-0.9
"
  Missouri","816,558","912,744","916,584","917,900","918,288","917,785","919,234","915,040","915,472","913,441","910,466",,"882,477",,"888,823",,"892,246",,"891,248",,-2.9,-2.1,-0.1
  Montana,"152,974","154,875","142,349","142,908","144,129","144,532","145,319","146,375","149,474","148,844","149,917",,"146,252",,"150,195",,"150,733",,"149,291",,3.6,-0.4,-1.0
  Nebraska,"274,081","286,199","301,296","303,505","307,677","312,635","316,014","319,194","323,766","326,392","330,018",,"324,697",,"327,564",,"329,234",,"329,162",,7.0,-0.3,#
  Nevada,"201,316","340,706","439,634","445,707","451,831","459,189","467,527","473,744","485,785","492,640","496,934",,"482,348",,"486,648",,"484,192",,"479,574",,6.1,-3.5,-1.0
  New Hampshire,"172,785","208,461","191,900","188,974","186,310","184,670","182,425","180,888","179,433","178,515","177,351",,"169,027",,"170,005",,"168,909",,"166,594",,-10.6,-6.1,-1.4
"
  New Jersey","1,089,646","1,313,405","1,356,431","1,372,203","1,370,295","1,400,579","1,408,845","1,410,421","1,408,102","1,400,069","1,411,917",,"1,373,960",,"1,372,381",,"1,383,830",,"1,392,567",,1.6,-1.4,0.6
  New Mexico,"301,881","320,306","337,225","338,220","339,244","340,365","335,694","336,263","334,345","333,537","331,206",,"316,840",,"316,785",,"315,023",,"311,719",,-8.1,-5.9,-1.0
  New York,"2,598,337","2,882,188","2,704,718","2,710,703","2,732,770","2,741,185","2,711,626","2,729,776","2,724,663","2,700,833","2,692,589",,"2,606,748",,"2,548,490",,"2,532,888",,"2,533,449",,-7.3,-5.9,#
  North Carolina,"1,086,871","1,293,638","1,507,864","1,518,465","1,530,857","1,548,895","1,544,934","1,550,062","1,553,513","1,552,497","1,560,350",,"1,513,677",,"1,525,223",,"1,541,722",,"1,544,289",,0.9,-1.0,0.2
  North Dakota,"117,825","109,201","97,646","101,111","103,947","106,586","108,644","109,706","111,920","113,845","116,185",,"114,955",,"116,864",,"118,513",,"119,033",,14.5,2.5,0.4
"
  Ohio","1,771,089","1,835,049","1,740,030","1,729,916","1,724,111","1,724,810","1,716,585","1,710,143","1,704,399","1,695,762","1,689,867",,"1,645,412",,"1,683,612",,"1,680,639",,"1,675,300",,-2.8,-0.9,-0.3
  Oklahoma,"579,087","623,110","666,120","673,483","681,848","688,511","692,878","693,903","695,092","698,891","703,719",,"694,113",,"698,696",,"701,301",,"698,761",,2.5,-0.7,-0.4
  Oregon,"472,394","546,231","568,208","587,564","593,000","601,318","608,825","606,277","608,014","609,507","610,648",,"578,723",\1\,"576,201",\1\,"577,335",\1\,"572,624",\1\,-3.4,-6.2,-0.8
  Pennsylvania,"1,667,834","1,814,311","1,771,395","1,763,677","1,755,236","1,743,160","1,717,414","1,727,497","1,726,809","1,730,757","1,732,449",,"1,704,396",,"1,695,092",,"1,693,347",,"1,692,829",,-3.6,-2.3,#
  Rhode Island,"138,813","157,347","142,854","142,481","142,008","141,959","142,014","142,150","142,949","143,436","143,557",,"139,184",,"138,566",,"137,449",,"136,154",,-4.1,-5.2,-0.9
"
  South Carolina","622,112","677,411","727,186","735,998","745,657","756,523","763,533","771,250","777,507","780,882","786,879",,"766,819",,"780,878",,"789,231",,"793,860",,6.5,0.9,0.6
  South Dakota,"129,164","128,603","128,016","130,471","130,890","133,040","134,253","136,302","137,823","138,975","139,949",,"139,566",,"141,307",,"141,888",,"141,467",,8.1,1.1,-0.3
  Tennessee,"824,595","909,161","999,693","993,496","993,556","995,475","1,001,235","1,001,562","1,001,967","1,007,624","1,014,744",,"985,207",,"996,709",,"1,006,752",,"1,004,625",,1.1,-1.0,-0.2
  Texas,"3,382,887","4,059,619","5,000,470","5,077,659","5,153,702","5,233,765","5,301,477","5,360,849","5,401,341","5,433,471","5,495,398",,"5,372,806",,"5,428,613",,"5,519,599",,"5,532,518",,7.4,0.7,0.2
  Utah,"446,652","481,485","598,832","613,279","625,461","635,577","647,870","659,801","668,274","677,031","684,694",,"680,659",,"690,934",,"691,906",,"689,883",,10.3,0.8,-0.3
"
  Vermont","95,762","102,049","89,908","89,624","88,690","87,311","87,866","88,428","88,028","87,074","86,759",,"82,401",,"83,975",,"83,654",,"82,455",,-7.0,-5.0,-1.4
  Virginia,"998,601","1,144,915","1,257,883","1,265,419","1,273,825","1,280,381","1,283,590","1,287,026","1,291,462","1,289,367","1,297,012",,"1,251,639",,"1,249,815",,"1,260,351",,"1,258,852",,-1.2,-2.9,-0.1
  Washington,"839,709","1,004,770","1,045,453","1,051,694","1,058,936","1,073,638","1,087,030","1,101,711","1,110,367","1,123,736","1,142,073",,"1,087,354",,"1,081,835",,"1,090,227",,"1,093,745",,3.3,-4.2,0.3
  West Virginia,"322,389","286,367","282,870","283,044","280,958","280,310","277,452","273,855","272,266","267,976","263,486",,"253,930",,"252,720",,"251,224",,"246,883",,-12.1,-6.3,-1.7
  Wisconsin,"797,621","879,476","871,105","872,436","874,414","871,432","867,800","864,432","860,753","859,333","855,400",,"830,066",,"829,359",,"823,040",,"814,202",,-6.9,-4.8,-1.1
  Wyoming,"98,226","89,940","90,099","91,533","92,732","94,067","94,717","94,170","94,258","94,313","94,616",,"92,772",,"93,093",,"92,467",,"91,036",,-1.8,-3.8,-1.5
"
  Bureau of Indian 
     Education",---,"46,938",---,---,---,---,---,"45,399","46,330","43,706","38,199",,"34,724",,"32,457",,"36,692",,"36,779",,---,-3.7,0.2
